Frame, Time (ms), Delta (ms) , Memory (mb)
  520,2431.792, 4.494,5765
  521,2436.367, 4.575,5765
  522,2440.790, 4.423,5765
  523,2445.293, 4.503,5765
  524,2449.871, 4.578,5764
  525,2454.337, 4.466,5764
  526,2458.809, 4.472,5764
  527,2463.290, 4.481,5764
  528,2467.815, 4.525,5764
  529,2472.265, 4.450,5764
  530,2476.770, 4.505,5764
  531,2481.371, 4.601,5764
  532,2485.863, 4.492,5764
  533,2490.444, 4.581,5764
  534,2494.874, 4.430,5764
  535,2499.408, 4.534,5764
  536,2503.788, 4.380,5764
  537,2508.251, 4.463,5764
  538,2512.808, 4.557,5764
  539,2517.195, 4.387,5764
  540,2521.647, 4.452,5764
  541,2526.178, 4.531,5764
  542,2530.811, 4.633,5763
  543,2535.221, 4.410,5763
  544,2539.663, 4.442,5763
  545,2544.240, 4.577,5763
  546,2548.729, 4.489,5763
  547,2553.306, 4.577,5763
  548,2557.673, 4.367,5763
  549,2562.215, 4.542,5763
  550,2566.636, 4.421,5763
  551,2571.147, 4.511,5763
  552,2575.778, 4.631,5763
  553,2580.157, 4.379,5763
  554,2584.622, 4.465,5763
  555,2589.280, 4.658,5763
  556,2593.640, 4.360,5764
  557,2598.141, 4.501,5764
  558,2602.619, 4.478,5764
  559,2607.129, 4.510,5764
  560,2611.524, 4.395,5764
  561,2616.113, 4.589,5764
  562,2620.689, 4.576,5764
  563,2625.284, 4.595,5764
  564,2629.546, 4.262,5764
  565,2634.155, 4.609,5764
  566,2638.651, 4.496,5764
  567,2643.114, 4.463,5764
  568,2647.534, 4.420,5764
  569,2652.151, 4.617,5764
  570,2656.496, 4.345,5764
  571,2661.078, 4.582,5764
  572,2665.593, 4.515,5764
  573,2670.100, 4.507,5764
  574,2674.503, 4.403,5764
  575,2679.021, 4.518,5764
  576,2683.448, 4.427,5764
  577,2688.035, 4.587,5764
  578,2692.466, 4.431,5764
  579,2696.920, 4.454,5764
  580,2701.361, 4.441,5764
  581,2705.893, 4.532,5764
  582,2710.457, 4.564,5764
  583,2714.945, 4.488,5764
  584,2719.387, 4.442,5764
  585,2724.216, 4.829,5764
  586,2728.732, 4.516,5764
  587,2733.215, 4.483,5764
  588,2737.613, 4.398,5764
  589,2742.403, 4.790,5764
  590,2746.801, 4.398,5764
  591,2751.249, 4.448,5762
  592,2755.816, 4.567,5762
  593,2760.207, 4.391,5762
  594,2764.665, 4.458,5762
  595,2769.152, 4.487,5762
  596,2773.606, 4.454,5762
  597,2778.131, 4.525,5762
  598,2782.476, 4.345,5762
  599,2786.991, 4.515,5762
  600,2791.464, 4.473,5762
  601,2795.897, 4.433,5762
  602,2800.539, 4.642,5762
  603,2804.892, 4.353,5762
  604,2809.292, 4.400,5762
  605,2813.728, 4.436,5762
  606,2818.092, 4.364,5762
  607,2822.591, 4.499,5762
  608,2827.009, 4.418,5762
  609,2831.511, 4.502,5762
  610,2835.984, 4.473,5762
  611,2840.465, 4.481,5762
  612,2844.964, 4.499,5762
  613,2849.547, 4.583,5762
  614,2853.867, 4.320,5762
  615,2858.298, 4.431,5762
  616,2862.658, 4.360,5762
  617,2867.085, 4.427,5762
  618,2871.536, 4.451,5762
  619,2875.929, 4.393,5761
  620,2880.423, 4.494,5761
  621,2884.857, 4.434,5761
  622,2889.357, 4.500,5761
  623,2893.878, 4.521,5761
  624,2898.343, 4.465,5761
  625,2902.805, 4.462,5761
  626,2907.210, 4.405,5761
  627,2911.777, 4.567,5761
  628,2916.089, 4.312,5761
  629,2920.680, 4.591,5761
  630,2925.085, 4.405,5761
  631,2929.582, 4.497,5761
  632,2934.063, 4.481,5761
  633,2938.477, 4.414,5761
  634,2942.903, 4.426,5761
  635,2947.320, 4.417,5761
  636,2951.798, 4.478,5761
  637,2956.226, 4.428,5761
  638,2960.598, 4.372,5761
  639,2965.163, 4.565,5761
  640,2969.553, 4.390,5761
  641,2973.974, 4.421,5761
  642,2978.516, 4.542,5761
  643,2982.941, 4.425,5761
  644,2987.320, 4.379,5761
  645,2991.846, 4.526,5761
  646,2996.508, 4.662,5761
  647,3000.777, 4.269,5761
  648,3005.150, 4.373,5761
  649,3009.606, 4.456,5761
  650,3013.962, 4.356,5761
  651,3018.424, 4.462,5761
  652,3022.872, 4.448,5761
  653,3027.309, 4.437,5761
  654,3031.816, 4.507,5761
  655,3036.196, 4.380,5761
  656,3040.614, 4.418,5761
  657,3045.037, 4.423,5761
  658,3049.450, 4.413,5761
  659,3053.878, 4.428,5761
  660,3058.431, 4.553,5761
  661,3062.760, 4.329,5761
  662,3067.096, 4.336,5761
  663,3071.661, 4.565,5761
  664,3076.093, 4.432,5761
  665,3080.537, 4.444,5761
  666,3084.916, 4.379,5761
  667,3089.342, 4.426,5761
  668,3093.853, 4.511,5761
  669,3098.283, 4.430,5761
  670,3102.657, 4.374,5761
  671,3107.123, 4.466,5761
  672,3111.542, 4.419,5761
  673,3115.964, 4.422,5761
  674,3120.498, 4.534,5761
  675,3124.891, 4.393,5761
  676,3129.237, 4.346,5761
  677,3133.715, 4.478,5761
  678,3138.178, 4.463,5761
  679,3142.541, 4.363,5761
  680,3146.973, 4.432,5761
  681,3151.675, 4.702,5761
  682,3155.889, 4.214,5761
  683,3160.269, 4.380,5761
  684,3164.771, 4.502,5760
  685,3169.165, 4.394,5760
  686,3173.595, 4.430,5760
  687,3178.027, 4.432,5760
  688,3182.462, 4.435,5760
  689,3186.914, 4.452,5760
  690,3191.329, 4.415,5760
  691,3195.785, 4.456,5760
  692,3200.161, 4.376,5760
  693,3204.648, 4.487,5760
  694,3209.051, 4.403,5760
  695,3213.494, 4.443,5760
  696,3217.877, 4.383,5762
  697,3222.295, 4.418,5762
  698,3226.736, 4.441,5762
  699,3231.616, 4.880,5762
  700,3236.052, 4.436,5762
  701,3240.562, 4.510,5762
  702,3244.989, 4.427,5762
  703,3249.381, 4.392,5762
  704,3253.848, 4.467,5762
  705,3258.208, 4.360,5762
  706,3262.589, 4.381,5762
  707,3267.062, 4.473,5762
  708,3271.522, 4.460,5762
  709,3275.942, 4.420,5762
  710,3280.282, 4.340,5762
  711,3284.735, 4.453,5762
  712,3289.177, 4.442,5762
  713,3293.662, 4.485,5762
  714,3298.116, 4.454,5762
  715,3302.598, 4.482,5762
  716,3306.934, 4.336,5762
  717,3311.300, 4.366,5762
  718,3315.790, 4.490,5762
  719,3320.159, 4.369,5762
  720,3324.506, 4.347,5762
  721,3328.953, 4.447,5762
  722,3333.338, 4.385,5762
  723,3337.864, 4.526,5762
  724,3342.180, 4.316,5762
  725,3346.657, 4.477,5762
  726,3351.175, 4.518,5762
  727,3355.440, 4.265,5762
  728,3359.859, 4.419,5762
  729,3364.424, 4.565,5762
  730,3368.745, 4.321,5762
  731,3373.056, 4.311,5762
  732,3377.636, 4.580,5762
  733,3381.981, 4.345,5762
  734,3386.409, 4.428,5762
  735,3390.776, 4.367,5762
  736,3395.665, 4.889,5762
  737,3399.905, 4.240,5762
  738,3404.499, 4.594,5760
  739,3408.795, 4.296,5760
  740,3413.176, 4.381,5760
  741,3417.771, 4.595,5760
  742,3422.109, 4.338,5760
  743,3426.540, 4.431,5760
  744,3430.900, 4.360,5760
  745,3435.339, 4.439,5760
  746,3439.696, 4.357,5760
  747,3444.172, 4.476,5760
  748,3448.640, 4.468,5760
  749,3453.870, 5.230,5760
  750,3458.341, 4.471,5760
  751,3462.764, 4.423,5760
  752,3467.245, 4.481,5760
  753,3471.627, 4.382,5760
  754,3475.929, 4.302,5760
  755,3480.427, 4.498,5760
  756,3484.740, 4.313,5760
  757,3489.295, 4.555,5760
  758,3493.566, 4.271,5760
  759,3497.928, 4.362,5760
  760,3502.474, 4.546,5760
  761,3506.817, 4.343,5760
  762,3511.186, 4.369,5760
  763,3515.472, 4.286,5760
  764,3519.802, 4.330,5760
  765,3524.276, 4.474,5760
  766,3528.693, 4.417,5760
  767,3533.042, 4.349,5760
  768,3537.422, 4.380,5760
  769,3541.786, 4.364,5760
  770,3546.214, 4.428,5760
  771,3550.599, 4.385,5760
  772,3555.046, 4.447,5760
  773,3559.337, 4.291,5760
  774,3563.750, 4.413,5760
  775,3568.156, 4.406,5760
  776,3572.549, 4.393,5760
  777,3576.940, 4.391,5760
  778,3581.276, 4.336,5760
  779,3585.702, 4.426,5760
  780,3590.049, 4.347,5760
  781,3594.508, 4.459,5760
  782,3598.879, 4.371,5760
  783,3603.354, 4.475,5760
  784,3607.583, 4.229,5760
