TimeInSeconds,FrameTimeMs,FPS
8.60144,10.74,93.08
8.61219,11.83,84.55
8.62401,12.90,77.55
8.63691,8.27,120.90
8.64518,11.00,90.92
8.65618,10.08,99.24
8.66626,11.85,84.41
8.67810,10.21,97.92
8.68831,11.07,90.37
8.69938,11.26,88.84
8.71064,12.07,82.87
8.72270,10.56,94.69
8.73326,10.90,91.78
8.74416,11.10,90.06
8.75526,11.08,90.26
8.76634,10.93,91.48
8.77727,10.82,92.41
8.78810,10.37,96.43
8.79847,10.95,91.36
8.80941,12.29,81.34
8.82171,10.33,96.82
8.83203,10.40,96.17
8.84243,10.92,91.55
8.85335,11.19,89.38
8.86454,10.72,93.29
8.87526,10.18,98.21
8.88544,10.73,93.15
8.89618,11.31,88.43
8.90749,11.00,90.89
8.91849,11.31,88.41
8.92980,10.95,91.35
8.94075,9.65,103.65
8.95040,11.74,85.19
8.96213,10.30,97.05
8.97244,11.12,89.91
8.98356,10.96,91.26
8.99452,10.99,91.01
9.00551,19.24,51.98
9.02474,3.83,260.96
9.02858,10.20,98.03
9.03878,10.88,91.88
9.04966,41.60,24.04
9.09126,4.21,237.62
9.09547,29.53,33.87
9.12499,4.55,219.65
9.12955,9.04,110.67
9.13858,13.68,73.11
9.15226,8.12,123.08
9.16039,39.95,25.03
9.20034,4.75,210.61
9.20508,10.25,97.53
9.21534,9.67,103.42
9.22501,10.80,92.60
9.23581,12.19,82.04
9.24800,9.88,101.22
9.25788,11.01,90.84
9.26888,10.90,91.74
9.27978,11.39,87.77
9.29118,10.90,91.73
9.30208,10.00,99.98
9.31208,11.04,90.54
9.32313,11.22,89.11
9.33435,10.47,95.55
9.34481,11.09,90.16
9.35591,9.99,100.09
9.36590,10.95,91.35
9.37684,10.97,91.17
9.38781,11.33,88.26
9.39914,10.04,99.57
9.40918,11.07,90.36
9.42025,11.26,88.82
9.43151,10.47,95.52
9.44198,10.01,99.88
9.45199,11.17,89.50
9.46316,10.08,99.22
9.47324,11.72,85.34
9.48496,11.10,90.06
9.49606,9.94,100.61
9.50600,10.43,95.90
9.51643,12.09,82.71
9.52852,9.93,100.73
9.53845,9.83,101.72
9.54828,10.74,93.08
9.55902,11.15,89.67
9.57017,11.44,87.43
9.58161,10.70,93.45
9.59231,9.86,101.44
9.60217,10.08,99.19
9.61225,11.90,84.02
9.62415,10.44,95.80
9.63459,10.93,91.50
9.64552,10.02,99.83
9.65554,9.67,103.42
9.66521,12.16,82.25
9.67736,10.21,97.90
9.68758,10.88,91.87
9.69846,9.90,100.99
9.70837,12.06,82.92
9.72043,10.10,98.96
9.73053,10.03,99.70
9.74056,11.05,90.47
9.75161,11.91,83.93
9.76353,10.79,92.69
9.77432,10.77,92.89
9.78508,10.65,93.93
9.79573,9.82,101.88
9.80554,12.74,78.50
9.81828,9.15,109.25
9.82744,10.95,91.29
9.83839,10.28,97.28
9.84867,11.13,89.82
9.85980,10.54,94.92
9.87034,12.18,82.10
9.88252,8.88,112.56
9.89140,10.78,92.76
9.90218,10.82,92.40
9.91301,10.82,92.40
9.92383,10.22,97.85
9.93405,20.24,49.41
9.95429,4.94,202.46
9.95923,9.02,110.90
9.96824,10.71,93.39
9.97895,9.85,101.51
9.98880,10.33,96.83
9.99913,11.02,90.71
10.01015,11.19,89.36
10.02134,9.77,102.32
10.03112,10.07,99.29
10.04119,10.91,91.65
10.05210,11.50,86.92
10.06360,10.05,99.55
10.07365,10.55,94.78
10.08420,10.74,93.15
10.09494,10.29,97.22
10.10522,10.85,92.14
10.11608,10.14,98.60
10.12622,10.92,91.61
10.13713,11.29,88.59
10.14842,10.88,91.88
10.15931,10.34,96.73
10.16964,9.89,101.08
10.17954,10.81,92.49
10.19035,11.74,85.18
10.20209,9.09,110.04
10.21118,12.03,83.15
10.22320,9.11,109.71
10.23232,10.75,93.00
10.24307,12.21,81.91
10.25528,9.82,101.83
10.26510,10.43,95.92
10.27552,10.26,97.44
10.28579,10.73,93.22
10.29651,10.67,93.71
10.30718,10.09,99.07
10.31728,10.08,99.24
10.32735,10.04,99.64
10.33739,11.74,85.20
10.34913,20.80,48.08
10.36992,4.39,227.55
10.37432,9.19,108.83
10.38351,10.99,90.99
10.39450,9.27,107.90
10.40377,10.12,98.79
10.41389,10.05,99.46
10.42394,11.01,90.82
10.43495,10.10,99.00
10.44506,9.65,103.61
10.45471,11.08,90.24
10.46579,10.04,99.60
10.47583,11.48,87.08
10.48731,9.71,102.99
10.49702,9.65,103.65
10.50667,9.92,100.83
10.51659,10.32,96.91
10.52691,11.03,90.69
10.53793,9.86,101.39
10.54780,9.82,101.80
10.55762,10.09,99.11
10.56771,11.12,89.96
10.57883,11.55,86.57
10.59038,9.79,102.14
10.60017,9.71,103.02
10.60987,37.19,26.89
10.64706,4.86,205.74
10.65192,9.00,111.09
10.66092,9.83,101.75
10.67075,9.83,101.71
10.68058,10.56,94.66
10.69115,9.88,101.26
10.70102,10.25,97.59
10.71127,10.89,91.80
10.72216,9.70,103.12
10.73186,9.99,100.07
10.74185,12.15,82.32
10.75400,8.85,112.94
10.76286,11.13,89.86
